image_id	image_time	image_wavelength	filePath_downsize_image	new_w	new_h
2011101104333362	2011-10-11 04:33:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__04_33_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101106033362	2011-10-11 06:03:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__06_03_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101106330962	2011-10-11 06:33:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__06_33_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101107030962	2011-10-11 07:03:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__07_03_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101107330962	2011-10-11 07:33:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__07_33_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101109362162	2011-10-11 09:36:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__09_36_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101110423362	2011-10-11 10:42:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__10_42_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101111423362	2011-10-11 11:42:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__11_42_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101112060963	2011-10-11 12:06:09.630	131.0	/data/aia-sigmoid-1k-png/2011_10_11__12_06_09_63__SDO_AIA_AIA_131.png	1024	1024
2011101113060962	2011-10-11 13:06:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__13_06_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101113420962	2011-10-11 13:42:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__13_42_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101114362162	2011-10-11 14:36:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__14_36_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101115062162	2011-10-11 15:06:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__15_06_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101115362162	2011-10-11 15:36:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__15_36_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101120422162	2011-10-11 20:42:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_11__20_42_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101213120962	2011-10-12 13:12:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_12__13_12_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101215482162	2011-10-12 15:48:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_12__15_48_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101217423362	2011-10-12 17:42:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_12__17_42_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101301180962	2011-10-13 01:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__01_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101305183362	2011-10-13 05:18:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__05_18_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101307183364	2011-10-13 07:18:33.640	131.0	/data/aia-sigmoid-1k-png/2011_10_13__07_18_33_64__SDO_AIA_AIA_131.png	1024	1024
2011101309122162	2011-10-13 09:12:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__09_12_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101310183362	2011-10-13 10:18:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__10_18_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101311180962	2011-10-13 11:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__11_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101313120962	2011-10-13 13:12:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__13_12_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101313422162	2011-10-13 13:42:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__13_42_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101316180962	2011-10-13 16:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__16_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101317122162	2011-10-13 17:12:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__17_12_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101317480962	2011-10-13 17:48:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__17_48_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101323190962	2011-10-13 23:19:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_13__23_19_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101400123362	2011-10-14 00:12:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__00_12_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101400423362	2011-10-14 00:42:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__00_42_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101401120962	2011-10-14 01:12:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__01_12_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101401480962	2011-10-14 01:48:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__01_48_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101402180962	2011-10-14 02:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__02_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101402482162	2011-10-14 02:48:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__02_48_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101403123362	2011-10-14 03:12:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__03_12_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101403420962	2011-10-14 03:42:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__03_42_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101404120962	2011-10-14 04:12:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__04_12_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101404422162	2011-10-14 04:42:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__04_42_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101405182162	2011-10-14 05:18:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__05_18_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101405483362	2011-10-14 05:48:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__05_48_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101406123362	2011-10-14 06:12:33.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__06_12_33_62__SDO_AIA_AIA_131.png	1024	1024
2011101406420962	2011-10-14 06:42:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__06_42_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101407180962	2011-10-14 07:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__07_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101408120962	2011-10-14 08:12:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__08_12_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101408184562	2011-10-14 08:18:45.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__08_18_45_62__SDO_AIA_AIA_131.png	1024	1024
2011101408480962	2011-10-14 08:48:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__08_48_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101409150962	2011-10-14 09:15:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__09_15_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101415180962	2011-10-14 15:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__15_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101416180962	2011-10-14 16:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__16_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101417180962	2011-10-14 17:18:09.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__17_18_09_62__SDO_AIA_AIA_131.png	1024	1024
2011101417480963	2011-10-14 17:48:09.630	131.0	/data/aia-sigmoid-1k-png/2011_10_14__17_48_09_63__SDO_AIA_AIA_131.png	1024	1024
2011101419182162	2011-10-14 19:18:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__19_18_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101420182162	2011-10-14 20:18:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__20_18_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101420482162	2011-10-14 20:48:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__20_48_21_62__SDO_AIA_AIA_131.png	1024	1024
2011101422482162	2011-10-14 22:48:21.620	131.0	/data/aia-sigmoid-1k-png/2011_10_14__22_48_21_62__SDO_AIA_AIA_131.png	1024	1024
